gene_id,Peromyscus_F_1,Peromyscus_F_2,Peromyscus_M_1,Peromyscus_M_2,Chromosome,species
Kcng1,9.036539426,8.814948823,7.735002002,6.177251094,Autosome,Peromyscus
LOC114684431,5.16902686,5.321694196,5.245783991,3.998255272,Autosome,Peromyscus
LOC119087320,0.782518575,0.713138392,1.024547994,1.352471693,Autosome,Peromyscus
LOC119087817,1.200780931,0.842682219,0.665863194,0.700639285,Autosome,Peromyscus
Nfatc2,3.847208369,4.348742092,3.809693192,3.548978772,Autosome,Peromyscus
Atp9a,0.900514469,1.075116754,1.57342561,1.989321667,Autosome,Peromyscus
Sall4,6.936417896,7.932758077,9.188665195,5.948312155,Autosome,Peromyscus
LOC114684439,5.315444526,5.419465966,4.193461239,3.14108282,Autosome,Peromyscus
Zfp64,0.179615514,0.178571262,0.134382726,0.173537768,Autosome,Peromyscus
LOC119087431,0.917177412,0.998687502,0.960684955,1.142139082,Autosome,Peromyscus
LOC114704040,0,0.711512202,0,1.290718586,Autosome,Peromyscus
Tshz2,0.242761989,0.307768808,0.316368804,0.463276812,Autosome,Peromyscus
Znf217,0.083002953,0.155871847,0.096600345,0.066531599,Autosome,Peromyscus
Bcas1,2.473770349,2.570718635,2.393850864,2.418915317,Autosome,Peromyscus
LOC114704035,8.371786154,8.323114117,7.797858948,4.483963486,Autosome,Peromyscus
Pfdn4,0.101837585,0.354359319,0.480007744,0.321412731,Autosome,Peromyscus
Dok5,0.594730411,0.533250664,0.442463653,0.816979035,Autosome,Peromyscus
LOC114704044,0,0,0,0,Autosome,Peromyscus
LOC114704041,0.987249021,0,3.102241515,2.670760258,Autosome,Peromyscus
LOC114704042,0.241929028,0.481044994,0.253405257,0.218159897,Autosome,Peromyscus
LOC114685690,0.050078686,0.232341842,0.052454236,0.090317074,Autosome,Peromyscus
LOC114685694,0.746897819,0.742555492,0.782327921,0.67351633,Autosome,Peromyscus
LOC114685692,0.844127121,1.007063425,1.237837196,0.761193013,Autosome,Peromyscus
LOC114685691,0.165527925,0.246848364,1.011383128,0.796080412,Autosome,Peromyscus
LOC114685695,0.469860516,0.58391104,0.910475614,0.656731107,Autosome,Peromyscus
LOC114685693,0.081306906,0.188613139,0.085163808,0.024439545,Autosome,Peromyscus
LOC114703439,0.357986157,0.177952445,0.187483856,0,Autosome,Peromyscus
Best1,1.970233265,1.529457332,0.282697798,0.413742989,Autosome,Peromyscus
Rab3il1,1.237685055,1.45765665,0.797782344,0.824185494,Autosome,Peromyscus
Fads3,0.135563019,0.13477488,0.255588539,0.097795339,Autosome,Peromyscus
Fads2,0.660295876,0.934616797,0.269613757,0.373400793,Autosome,Peromyscus
Fads1,0.29438193,0.409738627,0.493354133,0.159275632,Autosome,Peromyscus
Fen1,0,0,0,0.192289416,Autosome,Peromyscus
Tmem258,0,0,0,0,Autosome,Peromyscus
Myrf,8.97432777,8.496655073,9.83431598,7.959948931,Autosome,Peromyscus
Dagla,0.885002483,0.997171538,0.911534035,1.443144822,Autosome,Peromyscus
LOC114703461,5.768464902,5.802596868,5.926248316,5.247755605,Autosome,Peromyscus
Syt7,9.841491461,9.728839842,9.957910821,7.554707075,Autosome,Peromyscus
Lrrc10b,19.62595557,19.51185385,14.36775317,11.60819344,Autosome,Peromyscus
LOC119087832,22.17784408,25.62440443,26.36905288,14.05328612,Autosome,Peromyscus
Ppp1r32,1.111101402,1.459705052,2.369180551,3.614131719,Autosome,Peromyscus
Sdhaf2,0.180765537,0.15974631,0.105189107,0.072446941,Autosome,Peromyscus
Cpsf7,0.141644984,0.203408813,0.131879204,0.127728596,Autosome,Peromyscus
Tmem216,0.332147808,0.247662571,0.260927764,0.374393536,Autosome,Peromyscus
Tmem138,0.046670932,0.139198789,0.293308985,0.252513538,Autosome,Peromyscus
LOC114703422,0.326835134,0.252727202,0.342338998,0.196482745,Autosome,Peromyscus
Tkfc,0.155637665,0.154732816,0.260832875,0.196485126,Autosome,Peromyscus
Ddb1,0.210051794,0.321277832,0.135394389,0.335118047,Autosome,Peromyscus
Vwce,0.502685944,0.628274014,0.87253796,1.385796353,Autosome,Peromyscus
Pga3,1.788124984,1.907806895,1.781583823,2.792282164,Autosome,Peromyscus
Vps37c,0.18365289,0.258662318,0.30457746,0.193210843,Autosome,Peromyscus
Cd5,4.369431612,4.769566023,4.315175674,3.602415637,Autosome,Peromyscus
LOC119087837,3.525545841,2.721468304,3.302201834,2.911688759,Autosome,Peromyscus
Cd6,3.791561024,3.544631588,3.621663182,3.496751954,Autosome,Peromyscus
Slc15a3,0.632571317,0.754672396,0.901106336,0.889858664,Autosome,Peromyscus
Tmem132a,0.436818015,0.579037914,0.266897788,0.78780272,Autosome,Peromyscus
Tmem109,0.319674002,0.600318122,0.483655132,0.544503492,Autosome,Peromyscus
Prpf19,0.317811158,0.355458895,0.124832609,0.143293366,Autosome,Peromyscus
Zp1,5.533122319,3.184762701,3.660374787,4.201685981,Autosome,Peromyscus
Ptgdr2,8.145467599,9.717733605,6.323612994,6.913118806,Autosome,Peromyscus
Ccdc86,0.51687494,0.599514911,0.541393598,0.54377496,Autosome,Peromyscus
Ms4a10,1.735994181,2.241688062,1.755641902,2.735013909,Autosome,Peromyscus
Ms4a15,3.122436132,3.217165871,3.092159282,3.455585046,Autosome,Peromyscus
Ms4a18,1.1188954,1.082325743,1.203646618,1.781597193,Autosome,Peromyscus
LOC114703406,0,0.128895576,0,0.467645995,Autosome,Peromyscus
Ms4a8,1.454451829,0.917651251,1.142584279,2.093442465,Autosome,Peromyscus
LOC114703498,0.749513924,1.490312774,0.785068124,1.802334418,Autosome,Peromyscus
LOC114703442,0.377930567,0.356464971,0.477059896,0.812675748,Autosome,Peromyscus
LOC114703441,0.675498652,0.350385092,0.276864198,0.979908024,Autosome,Peromyscus
Ms4a13,0.553132509,0.53616878,0.347622656,0.735712514,Autosome,Peromyscus
LOC114703458,0.653013257,0.618301674,0.716560763,1.093589293,Autosome,Peromyscus
Ms4a1,0.300458053,0.298711245,0.188826411,0.785721768,Autosome,Peromyscus
LOC119087848,0.364231873,0.446864449,0.511385344,0.761716785,Autosome,Peromyscus
Ms4a5,0.346081027,0.258051732,0.543746769,1.170296747,Autosome,Peromyscus
Ms4a14,0.57407438,0.760982422,0.400870913,0.977825855,Autosome,Peromyscus
Ms4a7,0.648381707,0.966918201,0.424461603,1.16935853,Autosome,Peromyscus
LOC114703405,0.215353721,0.214101694,0.338353972,0.349552027,Autosome,Peromyscus
LOC114703495,0.245506537,0.325438942,0.285724966,0.368976535,Autosome,Peromyscus
LOC114703404,0.652507548,0.432475992,0.45564008,0.621088624,Autosome,Peromyscus
Ms4a2,0.437823479,0.391750248,0.596169891,0.82909688,Autosome,Peromyscus
Ms4a3,0.122522889,0.121810563,0.320837317,0.386698254,Autosome,Peromyscus
Oosp2,0.056017336,0.278458309,0,0.808219597,Autosome,Peromyscus
