Name,Chromosome,Region,M1,M2,F1,F2,F3
Kcng1,NC_051063.1,complement(18851..36468),0.014610372,0.315416439,0.065682571,0,0.32328237
LOC114684431,NC_051063.1,37318..55946,0,0,0,0,0
LOC119087817,NC_051063.1,complement(201407..207465),0,0,0,0,0
Nfatc2,NC_051063.1,complement(243897..360033),0.149223117,0.117145728,0.125021915,0.043054018,0.34019022
Atp9a,NC_051063.1,complement(405266..514098),26.88577124,14.63820736,21.19615645,35.38389871,18.98377749
Sall4,NC_051063.1,complement(521072..539951),7.60E-03,0.014918345,0,0,0
LOC114684439,NC_051063.1,complement(677578..696498),0.739791384,1.944842099,1.067545666,0.845437123,0.962333703
Zfp64,NC_051063.1,complement(709454..742811),8.525688361,7.873178398,9.080088184,7.582975674,9.243700801
LOC119087431,NC_051063.1,981410..991208,0,0,0,0,0
Tshz2,NC_051063.1,1464275..1919110,6.791208459,6.880159972,5.027863528,3.21924167,5.80922526
Znf217,NC_051063.1,complement(1967232..2013636),12.0641977,13.6139255,11.89272109,16.08257443,13.49824301
Trnav-uac_1,NC_051063.1,complement(2026512..2026584),0,0,0,0,0
Bcas1,NC_051063.1,complement(2229263..2313342),0,0.012727893,0,0.025728024,0.061499291
LOC114704035,NC_051063.1,complement(2381613..2396846),0.011283172,0,0,0.014920736,0
Pfdn4,NC_051063.1,2413458..2421862,54.81472315,59.09330597,52.35932372,55.15328883,72.44311586
Dok5,NC_051063.1,2643843..2797838,0.322935826,0.586844219,1.478679395,0.189798482,0.907374157
LOC114685690,NC_051063.1,complement(3824635..3850272),29.41738252,38.06273032,57.65119447,49.79784339,55.29664543
LOC114685692,NC_051063.1,3978311..3980845,10304.48775,13134.86633,7409.860967,6342.359968,8345.939489
LOC114685691,NC_051063.1,complement(3980929..3996441),0.08793093,0.086286336,0.016470974,0,0.131253468
LOC114685693,NC_051063.1,4039919..4055709,19.04319666,8.197070167,76.78713859,133.0192281,43.24459596
LOC114703439,NC_051063.1,4100514..4102904,6.178081457,8.840185065,2.572715301,1.855298477,3.578989638
Best1,NC_051063.1,complement(4103063..4118919),0.011790985,0,0.013251924,0,0
Rab3il1,NC_051063.1,4133963..4156438,3.787367182,4.631616545,4.422118429,2.174260128,3.257989396
Fads3,NC_051063.1,4162581..4178365,89.28558813,128.2080406,108.3637015,177.3035831,119.429546
Fads2,NC_051063.1,complement(4183335..4221575),75.56380804,143.4282387,116.0709555,99.71975304,91.43515265
Fads1,NC_051063.1,4306851..4321388,112.8979829,118.9503813,160.3252495,167.1506632,119.2141734
Fen1,NC_051063.1,complement(4323590..4325596),31.90213308,43.09375,53.94840775,54.8121229,44.44658949
Tmem258,NC_051063.1,4332064..4333982,471.9260317,386.8346719,389.523028,336.9050543,399.6761138
Myrf,NC_051063.1,complement(4334568..4366566),0.046116032,0.02585915,0.044425673,0.884257919,0.239482858
