Name,Chromosome,Region,M1,M2,F1,F2,F3
4933401J01Rik,1,3143476..3144545,0,0,0,0,0
Gm26206,1,3172239..3172348,0,0,0,0,0
Xkr4,1,complement(3276124..3741721),2.511901034,1.709488329,1.786738378,1.874798558,1.845750404
Gm37180,1,complement(3435954..3438772),0,0,0,0,0
Gm37363,1,complement(3445779..3448011),0,0,0,0,0
Gm37686,1,complement(3535200..3537508),0,0,0,0,0
Gm1992,1,3536810..3583776,0,0,0,0,0
Gm37329,1,complement(3582674..3584730),0,0,0,0,0
Gm38148,1,complement(3663115..3666126),0,0,0,0,0
Gm19938,1,complement(3717532..3729127),0.015868245,0,7.861E-3,0,0.01734355
Gm10568,1,3750378..3752011,0,0,0,0,0
Gm38385,1,3822233..3824583,0,0,0,0,0
Gm27396,1,complement(3854099..3854156),0,0,0,0,0
Gm37381,1,complement(3975962..4056438),0,0,0,0,0
Rp1,1,complement(4069780..4479464),0.018903075,0.021214037,0.029134609,0.017462999,0.0619816
Gm37483,1,complement(4433569..4435052),0,0,0,0,0
Sox17,1,complement(4561154..4567577),0.032511281,0,0,0.025743861,0
Gm37587,1,4566774..4569781,0,0,0,0,0
Gm22307,1,4599240..4599346,0,0,0,0,0
Gm37323,1,complement(4653352..4656475),0,0,0,0,0
Gm56275,1,complement(4793500..4793602),0,0,0,0,0
Mrpl15,1,complement(4843429..4855962),13.24093909,14.68872878,14.33581715,12.96963994,14.61849515
Gm37144,1,complement(4848286..4849435),0,0,0,0,0
A930006A01Rik,1,4855991..4857360,0.075495783,0.127088082,0.03740106,0,0.123772178
Lypla1,1,4878011..4918633,33.62716353,38.79008697,37.39153335,39.31362445,38.39108655
Gm37988,1,4878115..4956993,0.87758128,1.160737813,0.558975846,0.148908731,0.411073658
Tcea1,1,4928037..4968132,142.2108954,164.6558719,176.5952363,275.9435622,198.6535251
Gm37277,1,complement(4975974..4977084),0,0,0,0,0
Rgs20,1,complement(4979799..5140508),0.585586538,0.335433787,0.175270597,0.362260272,0.7133665
Gm37079,1,complement(5008799..5010933),0,0,0,0,0
Gm16041,1,5041080..5047043,0,0,0,0,0.01517386
Atp6v1h,1,5140241..5232752,33.89360545,32.57652477,30.0964751,28.58215702,30.22156928
Gm37567,1,5377962..5380240,0,0,0,0,0
Gm38264,1,5473770..5475801,0,0,0,0,0
Oprk1,1,5658689..5676354,0,6.342E-3,5.599E-3,0,0
Gm56304,1,complement(5714868..5714968),0,0,0,0,0
Gm37429,1,complement(5913097..5914895),0,0,0,0,0
Npbwr1,1,complement(5983926..5987617),0.028014416,0,0.013878508,0,0.022964231
4732440D04Rik,1,complement(6234353..6285517),1.339003979,1.921342774,1.665184944,1.567103277,1.78966863
Rb1cc1,1,6276421..6346872,28.48528088,43.34198156,35.05315717,34.72657543,44.33698038
Alkal1,1,6429442..6464955,0.585850384,1.225289659,0.976240858,0.379556241,2.765010121
St18,1,6557455..6931164,0.152007675,0.067338595,0.174391701,0.199554747,0.174884369
Gm42492,1,complement(6931461..6934375),0,0,0,0,0
Gm57122,1,complement(7158447..7159048),0.429523348,0.096406795,0.08511537,0.102034637,0.281674226
Pcmtd1,1,7159144..7243852,30.64871792,28.86144743,27.76432917,35.85885728,26.00601524
Gm38372,1,7218334..7222361,0,0,0,0,0
Gm23274,1,7336027..7336156,0,0,0,0,0
Gm26901,1,complement(7419630..7468093),0.023837111,0.046814731,0.041331663,0.056625814,0.071646567
Gm30414,1,7568192..7588373,0,0,0,0,0
Sntg1,1,complement(8431699..9370103),0,0,9.395E-3,0,0
Gm38024,1,complement(8521184..8523715),0,0,0,0,0
Gm38259,1,complement(8598004..8601537),0,0,0,0,0
Gm54704,1,complement(8658839..8658948),0,0,0,0,0
Gm37005,1,complement(8713920..8715083),0,0,0,0,0
Gm54706,1,8886362..8886471,0,0,0,0,0
Gm37629,1,complement(9261292..9262341),0,0,0,0,0
Gm37143,1,9357147..9360405,0,0,0,0,0
Gm24765,1,9528895..9528997,0,0,0,0,0
Rrs1,1,9615633..9617680,46.32346394,60.89906154,61.30970633,52.21712244,70.8464775
Adhfe1,1,9618173..9650898,5.492967295,2.210929168,1.728314869,2.469994036,1.21119917
2610203C22Rik,1,complement(9630705..9701406),0.157067915,0.429658074,0.427968093,0.338139844,0.236047421
Vxn,1,9671424..9697368,0,0.071298392,0,0.018865126,0.034719059
Gm29520,1,complement(9709480..9710807),0,0,0,0,0.05297341
Mybl1,1,complement(9737640..9770434),3.374565056,7.165976689,5.657966211,7.459219307,13.59179817
Vcpip1,1,complement(9788847..9818607),18.20806265,21.58598477,20.20092687,29.89964444,27.15973439
1700034P13Rik,1,9817873..9862152,0.500672375,0.734070603,0.944137321,0.987938745,1.412183084
Sgk3,1,9868332..9971070,3.434752142,4.294673134,4.137180314,4.225614316,3.047111135
Gm54812,1,complement(9904723..9904827),0,0,0,0,0
Snhg6,1,complement(9926809..10014398),11.88982527,14.03807701,15.73375464,12.52082779,13.63831127
Mcmdc2,1,9978863..10012310,8.741E-3,0.014715236,0.01732233,0.031148505,0.047770984
Snord87,1,complement(10012688..10012774),0,0,0,0,0
Tcf24,1,complement(10030388..10038157),0.024667117,0.041524129,0.048880947,0.102545662,0.134802356
E330040D14Rik,1,10037539..10038912,0,0,0,0,0
Ppp1r42,1,complement(10038849..10079361),0,0,0.033643764,0.040331485,0.037112691
Gm15818,1,10052612..10062591,0,0,0,0,0
Gm57177,1,complement(10060094..10062168),0,0,0,0,0
Gm24674,1,complement(10080039..10080142),0,0,0,0,0
Cops5,1,complement(10094826..10108393),79.19228956,81.93126108,81.94774906,73.62500809,76.3865945
Cspp1,1,10108212..10206993,3.254075543,3.886649859,3.425596628,3.571130925,3.988108853
1700047N06Rik,1,complement(10127250..10128169),0,0,0,0,0
Arfgef1,1,complement(10207796..10302895),21.07560028,28.7697451,26.41652287,33.97144893,33.50256667
Gm54899,1,10236764..10237003,0,0,0,0.255936882,0
Gm37569,1,complement(10267306..10269027),0,0,0,0,0
Cpa6,1,complement(10394945..10790170),0.090727388,0.237577915,0.194769849,0.422071349,0.318146371
Gm38005,1,complement(10519470..10522214),0,0,0,0,0
Gm25253,1,complement(10625779..10625885),0,0,0,0,0
Gm37133,1,complement(10852681..10854602),0,0,0,0,0
Gm54912,1,10991894..10991984,0,0,0,0,0
Prex2,1,11063689..11373905,2.209134602,2.138513883,1.494702558,2.196782581,3.352085527
Gm24173,1,complement(11204335..11204462),0,0,0,0,0
Gm37410,1,complement(11434150..11437188),0,0,0,0,0
